Company Name	Exchange:Ticker	Primary Industry	CIQID
3M Company	NYSE:MMM	Industrial Conglomerates	IQ289194
A. O. Smith Corporation	NYSE:AOS	Building Products	IQ997111
Abbott Laboratories	NYSE:ABT	Health Care Equipment	IQ247483
AbbVie Inc.	NYSE:ABBV	Biotechnology	IQ141885706
"Abiomed, Inc."	NasdaqGS:ABMD	Health Care Equipment	IQ247589
Accenture plc	NYSE:ACN	IT Consulting and Other Services	IQ972190
"Activision Blizzard, Inc."	NasdaqGS:ATVI	Interactive Home Entertainment	IQ4222231
Adobe Inc.	NasdaqGS:ADBE	Application Software	IQ24321
"Advance Auto Parts, Inc."	NYSE:AAP	Automotive Retail	IQ24333
"Advanced Micro Devices, Inc."	NasdaqGS:AMD	Semiconductors	IQ168864
Aflac Incorporated	NYSE:AFL	Life and Health Insurance	IQ250178
"Agilent Technologies, Inc."	NYSE:A	Life Sciences Tools and Services	IQ154924
"Air Products and Chemicals, Inc."	NYSE:APD	Industrial Gases	IQ248356
"Akamai Technologies, Inc."	NasdaqGS:AKAM	Internet Services and Infrastructure	IQ24522
"Alaska Air Group, Inc."	NYSE:ALK	Airlines	IQ248501
Albemarle Corporation	NYSE:ALB	Specialty Chemicals	IQ18671
"Alexandria Real Estate Equities, Inc."	NYSE:ARE	Office REITs	IQ365138
"Alexion Pharmaceuticals, Inc."	NasdaqGS:ALXN	Biotechnology	IQ347983
"Align Technology, Inc."	NasdaqGS:ALGN	Health Care Supplies	IQ24568
Allegion plc	NYSE:ALLE	Building Products	IQ241782379
Alliant Energy Corporation	NasdaqGS:LNT	Electric Utilities	IQ312949
Alphabet Inc.	NasdaqGS:GOOG	Interactive Media and Services	IQ29096
Alphabet Inc.	NasdaqGS:GOOG.L	Interactive Media and Services	IQ29096
"Altria Group, Inc."	NYSE:MO	Tobacco	IQ296308
"Amazon.com, Inc."	NasdaqGS:AMZN	Internet and Direct Marketing Retail	IQ18749
Amcor plc	NYSE:AMCR	Paper Packaging	IQ401715
Ameren Corporation	NYSE:AEE	Multi-Utilities	IQ373264
American Airlines Group Inc.	NasdaqGS:AAL	Airlines	IQ168569
"American Electric Power Company, Inc."	NYSE:AEP	Electric Utilities	IQ135470
American Express Company	NYSE:AXP	Consumer Finance	IQ92001
"American International Group, Inc."	NYSE:AIG	Multi-line Insurance	IQ250388
American Tower Corporation (REIT)	NYSE:AMT	Specialized REITs	IQ24766
"American Water Works Company, Inc."	NYSE:AWK	Water Utilities	IQ250885
"Ameriprise Financial, Inc."	NYSE:AMP	Asset Management and Custody Banks	IQ4165019
AmerisourceBergen Corporation	NYSE:ABC	Health Care Distributors	IQ24809
"AMETEK, Inc."	NYSE:AME	Electrical Components and Equipment	IQ31860
Amgen Inc.	NasdaqGS:AMGN	Biotechnology	IQ24816
Amphenol Corporation	NYSE:APH	Electronic Components	IQ24827
"Analog Devices, Inc."	NasdaqGS:ADI	Semiconductors	IQ251411
"ANSYS, Inc."	NasdaqGS:ANSS	Application Software	IQ24893
"Anthem, Inc."	NYSE:ANTM	Managed Health Care	IQ160077
Aon Plc	NYSE:AON	Insurance Brokers	IQ119853
